Epoch,Avg. Loss,Avg. PSNR1,Avg. PSNR2,Avg. SSIM1,Avg. SSIM2
1,0.0623,27.36,26.25,0.75,0.64
2,0.0585,27.47,26.55,0.75,0.64
3,0.0577,27.42,26.73,0.75,0.65
4,0.0572,27.47,26.34,0.75,0.64
5,0.0568,27.65,26.92,0.76,0.65
6,0.0565,27.65,26.85,0.76,0.65
7,0.0562,27.74,26.88,0.76,0.65
8,0.056,27.84,27.04,0.76,0.66
9,0.0558,27.47,26.51,0.75,0.65
10,0.0557,27.71,26.91,0.76,0.65
11,0.0555,27.82,26.97,0.76,0.66
12,0.0554,27.97,27.27,0.76,0.66
13,0.0553,27.96,27.29,0.76,0.66
14,0.0551,27.78,26.89,0.76,0.65
15,0.0551,27.81,27.0,0.76,0.65
16,0.055,27.83,26.95,0.76,0.65
17,0.0549,27.98,27.22,0.76,0.66
18,0.0548,28.01,27.23,0.76,0.66
19,0.0547,28.08,27.34,0.76,0.66
20,0.0547,27.84,27.02,0.76,0.65
21,0.0546,27.99,27.19,0.76,0.66
22,0.0545,28.02,27.19,0.76,0.66
23,0.0545,28.02,27.17,0.76,0.66
24,0.0544,28.1,27.26,0.76,0.66
25,0.0544,28.06,27.26,0.76,0.66
26,0.0543,28.04,27.22,0.76,0.66
27,0.0542,27.67,26.74,0.76,0.65
28,0.0542,28.13,27.34,0.77,0.66
29,0.0542,28.14,27.38,0.77,0.66
30,0.0541,28.05,27.19,0.76,0.66
31,0.0541,28.14,27.4,0.77,0.66
32,0.054,28.18,27.37,0.77,0.66
33,0.054,28.17,27.36,0.77,0.66
34,0.054,28.05,27.19,0.76,0.66
35,0.0539,28.01,27.12,0.76,0.66
36,0.0539,27.86,26.98,0.76,0.66
37,0.0539,28.11,27.31,0.76,0.66
38,0.0539,28.2,27.36,0.77,0.66
39,0.0538,27.97,27.16,0.76,0.66
40,0.0538,28.2,27.35,0.77,0.66
41,0.0538,27.89,26.99,0.76,0.66
42,0.0537,28.12,27.31,0.77,0.66
43,0.0537,28.16,27.35,0.77,0.66
44,0.0537,28.24,27.48,0.77,0.66
45,0.0537,28.14,27.33,0.77,0.66
46,0.0537,28.04,27.12,0.76,0.66
47,0.0536,28.1,27.18,0.76,0.66
48,0.0536,28.2,27.39,0.77,0.66
49,0.0536,28.22,27.43,0.77,0.66
50,0.0535,28.16,27.34,0.77,0.66
51,0.0534,28.21,27.4,0.77,0.66
52,0.0534,28.13,27.27,0.76,0.66
53,0.0534,28.19,27.33,0.77,0.66
54,0.0534,28.21,27.38,0.77,0.66
55,0.0534,28.13,27.26,0.77,0.66
56,0.0534,28.19,27.36,0.77,0.66
57,0.0534,28.14,27.31,0.76,0.66
58,0.0534,28.19,27.38,0.77,0.66
59,0.0533,28.06,27.17,0.76,0.66
60,0.0533,28.1,27.25,0.76,0.66
61,0.0533,28.14,27.3,0.76,0.66
62,0.0533,28.18,27.37,0.77,0.66
63,0.0533,28.08,27.25,0.76,0.66
64,0.0533,28.2,27.38,0.77,0.66
65,0.0533,28.22,27.4,0.77,0.66
66,0.0533,28.14,27.34,0.77,0.66
67,0.0533,28.21,27.38,0.77,0.66
68,0.0533,28.13,27.33,0.76,0.66
69,0.0532,28.14,27.33,0.77,0.66
70,0.0533,28.03,27.18,0.76,0.66
71,0.0533,28.15,27.28,0.77,0.66
72,0.0532,28.23,27.39,0.77,0.66
73,0.0533,28.2,27.38,0.77,0.66
74,0.0532,28.22,27.38,0.77,0.66
75,0.0532,28.17,27.32,0.77,0.66
76,0.0532,28.09,27.23,0.76,0.66
77,0.0532,28.18,27.36,0.77,0.66
78,0.0532,28.2,27.38,0.77,0.66
79,0.0532,28.06,27.2,0.76,0.66
80,0.0532,28.21,27.39,0.77,0.66
81,0.0532,28.27,27.47,0.77,0.66
